,century,word,count
4222,1900,fathers,4
4204,1900,fame,4
2208,1700,whom,4
4216,1900,fast,4
2980,1800,souls,4
2241,1700,young,4
2218,1700,wit,4
6304,1900,swift,4
6309,1900,swords,4
3488,1900,bold,4
2171,1700,vain,4
6086,1900,sometimes,4
4633,1900,harrington,4
2902,1800,said,4
963,700,such,4
6196,1900,stirring,4
615,600,thus,4
6207,1900,stormy,4
6208,1900,story,4
3437,1900,billows,4
6209,1900,stout,4
3581,1900,burning,4
5036,1900,lines,4
6072,1900,softly,4
6238,1900,strong,4
3499,1900,bound,4
5990,1900,sight,4
4246,1900,felt,4
6061,1900,snow,4
6349,1900,terror,4
2962,1800,smiles,4
4308,1900,flames,4
2861,1800,proud,4
1112,1300,have,4
2263,1800,anderson,4
5302,1900,near,4
3533,1900,bridge,4
5303,1900,nearer,4
2776,1800,morn,4
2501,1800,face,4
4902,1900,king,4
5746,1900,rise,4
3080,1800,twas,4
2506,1800,fair,4
3305,1900,art,4
3298,1900,arose,4
1388,1600,hearts,4
1390,1600,here,4
6636,1900,waiting,4
4534,1900,gods,4
4889,1900,keep,4
242,600,glory,4
4885,1900,just,4
1417,1600,may,4
2539,1800,first,4
4744,1900,horror,4
1707,1700,ever,4
3267,1900,answer,4
3265,1900,another,4
2499,1800,eye,4
3825,1900,crept,4
4908,1900,kisses,4
5411,1900,owls,4
2411,1800,days,4
5821,1900,sail,4
3358,1900,banner,4
5812,1900,sad,4
5808,1900,rustling,4
3064,1800,trace,4
1794,1700,him,4
2446,1800,doth,4
5396,1900,others,4
4936,1900,lake,4
4096,1900,eer,4
4410,1900,free,4
3327,1900,awake,4
6572,1900,until,4
6573,1900,unto,4
1340,1600,dear,4
4923,1900,known,4
6586,1900,used,4
4912,1900,knees,4
4539,1900,gone,4
6683,1900,wed,4
3362,1900,bare,4
2711,1800,life,4
5609,1900,queen,4
2636,1800,hearts,4
6788,1900,word,4
2642,1800,here,4
4485,1900,girl,4
5523,1900,please,4
2647,1800,him,4
3198,1900,across,4
1624,1700,come,4
5574,1900,pretty,4
1681,1700,dreaming,4
3991,1900,done,4
32,600,away,4
6820,1900,yellow,4
5549,1900,poor,4
4783,1900,ill,4
6837,1900,yours,4
5561,1900,power,4
3174,1800,you,4
5559,1900,pour,4
3932,1900,desire,4
3146,1800,wiles,4
6772,1900,without,4
5614,1900,quick,4
6688,1900,weep,4
3122,1800,weep,4
6700,1900,west,4
3893,1900,deadly,4
6707,1900,wheel,4
3125,1800,well,4
4023,1900,dreams,4
4763,1900,human,4
1492,1600,trust,4
1496,1600,ungrateful,4
2606,1800,good,4
2610,1800,grave,4
2611,1800,great,4
3138,1800,whose,4
3219,1900,aged,4
2617,1800,gun,4
3216,1900,against,4
6761,1900,winters,4
5616,1900,quiet,4
5822,1900,sailed,4
5754,1900,road,4
6482,1900,trees,4
4385,1900,forgot,4
2352,1800,came,4
5319,1900,new,4
2335,1800,bright,4
5877,1900,secret,4
6422,1900,time,4
1222,1300,this,4
5832,1900,sang,4
3699,1900,city,4
1855,1700,life,4
505,600,sea,4
2367,1800,cheek,4
6508,1900,true,4
1856,1700,light,4
3022,1800,sweet,4
4163,1900,everywhere,4
1841,1700,laugh,4
3377,1900,beach,4
517,600,ship,4
2329,1800,brave,4
3382,1900,bear,4
4121,1900,end,4
3402,1900,began,4
5894,1900,sell,4
1877,1700,man,4
4153,1900,evening,4
4959,1900,laughter,4
3033,1800,thee,4
2850,1800,power,4
5309,1900,need,4
4598,1900,gulf,4
4970,1900,leader,4
3029,1800,tell,3
2948,1800,silence,3
1498,1600,unto,3
5634,1900,ranks,3
5951,1900,shook,3
5883,1900,seeks,3
4589,1900,ground,3
3141,1800,wide,3
1491,1600,true,3
5950,1900,shone,3
5823,1900,sailor,3
5644,1900,reach,3
5200,1900,mild,3
3254,1900,amoret,3
4536,1900,going,3
1452,1600,rhymes,3
3252,1900,amid,3
3032,1800,than,3
3249,1900,amber,3
5204,1900,millions,3
3247,1900,although,3
4461,1900,gazed,3
5201,1900,mile,3
4363,1900,fontenoy,3
6088,1900,somewhere,3
5482,1900,people,3
4463,1900,gems,3
5882,1900,seeking,3
5655,1900,recall,3
3001,1800,steal,3
4466,1900,gentleman,3
5335,1900,noble,3
5487,1900,perfumes,3
1478,1600,their,3
4468,1900,gently,3
1118,1300,him,3
2945,1800,sigh,3
5627,1900,raised,3
4341,1900,flows,3
5587,1900,proudly,3
1557,1700,away,3
4291,1900,firmly,3
5172,1900,mehitable,3
1607,1700,cannot,3
5576,1900,priest,3
3413,1900,believe,3
6119,1900,sped,3
5318,1900,nevermore,3
3169,1800,years,3
4289,1900,firelight,3
1571,1700,best,3
4352,1900,fog,3
5564,1900,praise,3
4510,1900,glide,3
5562,1900,powers,3
1143,1300,man,3
4349,1900,foe,3
5919,1900,shalt,3
4509,1900,glen,3
5920,1900,shame,3
3155,1800,within,3
4346,1900,foam,3
4355,1900,fold,3
1638,1700,cry,3
3512,1900,brake,3
3218,1900,age,3
4364,1900,fool,3
5615,1900,quickly,3
5942,1900,shining,3
3211,1900,afraid,3
5897,1900,sense,3
3147,1800,wilhelmine,3
5940,1900,shine,3
5516,1900,plant,3
3410,1900,being,3
3025,1800,sword,3
4522,1900,glorys,3
5900,1900,sent,3
4593,1900,grown,3
3206,1900,advance,3
5520,1900,play,3
5179,1900,memory,3
3432,1900,between,3
5178,1900,memories,3
4537,1900,gold,3
5688,1900,remembered,3
4458,1900,gay,3
3324,1900,autumn,3
3050,1800,thousand,3
1785,1700,hath,3
1784,1700,has,3
6022,1900,skies,3
1035,700,yet,3
1260,1300,you,3
3045,1800,this,3
3042,1800,things,3
3326,1900,avail,3
5398,1900,ought,3
5767,1900,roll,3
4404,1900,frail,3
5766,1900,rode,3
1249,1300,wise,3
1245,1300,who,3
3454,1900,blast,3
1028,700,will,3
1027,700,why,3
1023,700,when,3
5406,1900,overhead,3
4571,1900,gray,3
1021,700,what,3
1786,1700,have,3
5395,1900,other,3
3258,1900,angels,3
5799,1900,run,3
6000,1900,sin,3
4387,1900,form,3
5371,1900,off,3
1815,1700,into,3
5993,1900,sign,3
3467,1900,blew,3
3356,1900,band,3
3461,1900,bless,3
1292,1400,own,3
5382,1900,ones,3
4398,1900,found,3
3341,1900,baby,3
6012,1900,sins,3
1977,1700,pleasd,3
3346,1900,bad,3
4401,1900,four,3
2986,1800,space,3
6018,1900,six,3
5790,1900,rub,3
3052,1800,thus,3
1793,1700,here,3
1040,700,youre,3
1244,1300,which,3
5352,1900,nothing,3
5233,1900,moore,3
1927,1700,night,3
1718,1700,fair,3
1715,1700,eyes,3
4442,1900,gain,3
1218,1300,thee,3
4367,1900,foot,3
1857,1700,like,3
993,700,too,3
5457,1900,pasturing,3
5700,1900,reply,3
3441,1900,bit,3
3272,1900,anxious,3
4315,1900,flee,3
5462,1900,patriot,3
5464,1900,paul,3
5214,1900,mirth,3
5999,1900,silvery,3
3395,1900,become,3
5469,1900,pay,3
4454,1900,gate,3
6070,1900,sod,3
3262,1900,anguish,3
4455,1900,gather,3
4550,1900,grace,3
3286,1900,april,3
5717,1900,return,3
5441,1900,part,3
4418,1900,fresh,3
3419,1900,below,3
4420,1900,friends,3
3312,1900,asitting,3
5857,1900,scorn,3
5275,1900,mute,3
6042,1900,slowly,3
1223,1300,thou,3
1749,1700,freely,3
1372,1600,free,3
5736,1900,rifles,3
5967,1900,showed,3
3088,1800,upon,3
3301,1900,array,3
5964,1900,shouts,3
1936,1700,oer,3
3294,1900,arm,3
3292,1900,arise,3
1220,1300,then,3
6050,1900,smiles,3
6051,1900,smiling,3
5241,1900,mortal,3
4508,1900,gleams,3
4198,1900,fall,3
667,600,watch,3
2500,1800,eyes,3
6479,1900,tread,3
2366,1800,charms,3
2751,1800,make,3
677,600,when,3
4028,1900,drew,3
6613,1900,village,3
6699,1900,wept,3
5057,1900,locks,3
176,600,eye,3
2574,1800,free,3
6315,1900,tale,3
6693,1900,welcome,3
450,600,pride,3
2364,1800,change,3
2757,1800,may,3
5052,1900,lived,3
3840,1900,crown,3
3883,1900,dauntless,3
656,600,virgin,3
3651,1900,chance,3
3882,1900,daughter,3
3736,1900,coast,3
190,600,fate,3
6467,1900,trade,3
2509,1800,fall,3
3750,1900,cometh,3
296,600,how,3
3729,1900,clouds,3
6751,1900,windows,3
6758,1900,winked,3
4716,1900,himself,3
6268,1900,sunlight,3
4230,1900,fearless,3
6271,1900,suns,3
4014,1900,draw,3
3920,1900,delight,3
5082,1900,loud,3
6273,1900,sunshine,3
2614,1800,grief,3
4682,1900,hell,3
4913,1900,knelt,3
6750,1900,window,3
6602,1900,vengeance,3
2204,1700,whilst,3
4017,1900,dread,3
4907,1900,kissed,3
6600,1900,vast,3
2209,1700,whose,3
2872,1800,raise,3
6295,1900,sweep,3
299,600,human,3
2212,1700,will,3
126,600,day,3
127,600,days,3
2602,1800,glorious,3
648,600,upon,3
6623,1900,voices,3
4131,1900,enough,3
6389,1900,thoughts,3
3863,1900,dance,3
4188,1900,fail,3
3674,1900,cheering,3
2333,1800,breath,3
2288,1800,beauty,3
2289,1800,bed,3
4052,1900,dumb,3
6637,1900,wake,3
579,600,strength,3
3678,1900,chest,3
2330,1800,break,3
4699,1900,hidden,3
2300,1800,between,3
4165,1900,evil,3
244,600,gods,3
6644,1900,walls,3
6643,1900,wall,3
529,600,sign,3
5017,1900,lifted,3
553,600,soul,3
5001,1900,lets,3
5014,1900,lifes,3
6406,1900,thud,3
253,600,greeks,3
2840,1800,peterkin,3
6410,1900,thunder,3
2522,1800,feet,3
6373,1900,thinking,3
4035,1900,drive,3
5041,1900,lip,3
6624,1900,void,3
3726,1900,cloud,3
3724,1900,closed,3
2256,1800,air,3
4943,1900,lands,3
6676,1900,ways,3
5044,1900,list,3
2833,1800,path,3
6671,1900,waters,3
3660,1900,charm,3
2555,1800,foe,3
4196,1900,faith,3
3668,1900,cheek,3
5032,1900,limbs,3
3669,1900,cheeks,3
2858,1800,prince,3
620,600,tis,3
2270,1800,april,3
616,600,thy,3
218,600,forth,3
221,600,free,3
264,600,hands,3
603,600,them,3
4059,1900,dwell,3
6436,1900,toil,3
6435,1900,together,3
3615,1900,captains,3
3917,1900,delay,3
3613,1900,cap,3
6188,1900,stern,3
852,700,kiss,3
846,700,innocent,3
2910,1800,scots,3
6560,1900,union,3
835,700,heart,3
834,700,heard,3
833,700,hear,3
3948,1900,died,3
6562,1900,unknown,3
6566,1900,unseen,3
6800,1900,wound,3
437,600,persian,3
2714,1800,lighted,3
2130,1700,those,3
4729,1900,honor,3
2133,1700,thought,3
6797,1900,worthy,3
2136,1700,through,3
2815,1800,once,3
2719,1800,line,3
4256,1900,field,3
2720,1800,lips,3
6517,1900,tuffet,3
327,600,know,3
6167,1900,state,3
4099,1900,eight,3
4000,1900,doth,3
2680,1800,king,3
6135,1900,spot,3
2688,1800,lady,3
2081,1700,souls,3
6138,1900,spray,3
3973,1900,disteyne,3
2687,1800,know,3
4723,1900,holy,3
367,600,make,3
2694,1800,last,3
3539,1900,bring,3
4653,1900,having,3
5148,1900,marriage,3
6163,1900,stars,3
2701,1800,led,3
6151,1900,stains,3
5147,1900,marked,3
6536,1900,twilight,3
6817,1900,year,3
873,700,may,3
3547,1900,broken,3
6550,1900,under,3
359,600,lost,3
34,600,awful,3
2658,1800,hurricane,3
412,600,oer,3
3695,1900,christian,3
6232,1900,strife,3
4240,1900,feeling,3
6502,1900,trooping,3
6778,1900,woman,3
764,700,cried,3
2819,1800,other,3
4238,1900,feed,3
2816,1800,one,3
4676,1900,heavy,3
6789,1900,words,3
2157,1700,two,3
6765,1900,wisdom,3
5092,1900,lovers,3
98,600,come,3
2634,1800,head,3
749,700,can,3
84,600,came,3
2181,1700,waking,3
4717,1900,hit,3
3811,1900,craft,3
771,700,dear,3
6504,1900,troubled,3
4961,1900,laurels,3
6255,1900,suffering,3
6219,1900,stream,3
6259,1900,sullen,3
416,600,once,3
6260,1900,summer,3
6261,1900,summers,3
2403,1800,cried,3
6216,1900,strangely,3
4082,1900,eastern,3
2494,1800,everybody,2
2472,1800,elsinore,2
2452,1800,dreadful,2
5440,1900,parker,2
2775,1800,more,2
4910,1900,knee,2
5439,1900,parents,2
1790,1700,heaven,2
2804,1800,north,2
4741,1900,horizon,2
4724,1900,home,2
5442,1900,particular,2
5393,1900,orders,2
1769,1700,good,2
2444,1800,done,2
1768,1700,golden,2
1728,1700,few,2
1772,1700,great,2
2523,1800,fell,2
1729,1700,fields,2
3092,1800,van,2
4740,1900,hopes,2
2448,1800,down,2
1766,1700,god,2
5394,1900,orleans,2
1789,1700,heat,2
2453,1800,dreaming,2
1788,1700,heart,2
5400,1900,ours,2
2797,1800,nelson,2
2795,1800,need,2
2783,1800,mouth,2
4901,1900,kindred,2
4927,1900,lace,2
5419,1900,paint,2
2511,1800,fame,2
1745,1700,fly,2
2469,1800,eclipse,2
2782,1800,mournful,2
2473,1800,embrace,2
4560,1900,grass,2
5421,1900,pakenham,2
4925,1900,labor,2
4924,1900,knows,2
2508,1800,faithful,2
1748,1700,found,2
2784,1800,much,2
3089,1800,uproar,2
1735,1700,first,2
4727,1900,homespuns,2
2518,1800,feeble,2
5436,1900,paradise,2
2777,1800,morning,2
2778,1800,mortal,2
4734,1900,hoofs,2
2455,1800,drifted,2
2799,1800,newborn,2
2481,1800,english,2
4555,1900,grant,2
2480,1800,englands,2
2515,1800,fathom,2
2513,1800,far,2
2793,1800,nay,2
5433,1900,papa,2
2459,1800,duke,2
3075,1800,true,2
4922,1900,knowledge,2
5428,1900,palm,2
2079,1700,sought,2
2528,1800,festal,2
2727,1800,lofty,2
3150,1800,winds,2
5521,1900,played,2
4773,1900,hurrying,2
2640,1800,held,2
1633,1700,cost,2
2638,1800,heaven,2
2724,1800,living,2
5517,1900,planted,2
2633,1800,havoc,2
5515,1900,planned,2
2631,1800,hath,2
2629,1800,has,2
2726,1800,locks,2
3145,1800,wildly,2
2728,1800,long,2
2529,1800,field,2
2730,1800,looked,2
2621,1800,hailed,2
3144,1800,wild,2
2732,1800,lovd,2
5508,1900,pity,2
5507,1900,pits,2
1649,1700,day,2
4768,1900,hurled,2
2735,1800,loveliest,2
1650,1700,days,2
3139,1800,why,2
2736,1800,lovely,2
3136,1800,whilst,2
4840,1900,isles,2
4820,1900,instant,2
5525,1900,pleasures,2
3151,1800,winecup,2
