,century,word,count
2941,1900,clouds,3
1665,1800,change,3
2275,1800,than,3
4591,1900,pasturing,3
2636,1900,being,3
222,600,free,3
2276,1800,thee,3
4966,1900,scorn,3
219,600,forth,3
2272,1800,tell,3
1634,1800,breath,3
2908,1900,christian,3
2891,1900,chest,3
2639,1900,believe,3
5711,1900,walls,3
5710,1900,wall,3
1631,1800,break,3
4990,1900,seeks,3
3847,1900,heavy,3
2887,1900,cheering,3
5704,1900,wake,3
245,600,gods,3
4596,1900,patriot,3
5004,1900,sense,3
4598,1900,paul,3
2644,1900,below,3
5044,1900,shine,3
2665,1900,bit,3
177,600,eye,3
2657,1900,between,3
1592,1800,bed,3
1591,1800,beauty,3
297,600,how,3
2962,1900,cometh,3
300,600,human,3
5754,1900,welcome,3
2865,1900,chance,3
4910,1900,run,3
2443,1900,afraid,3
993,1600,TRUE,3
836,1400,own,3
3548,1900,fontenoy,3
3549,1900,fool,3
4543,1900,overhead,3
5101,1900,silvery,3
5102,1900,sin,3
3552,1900,foot,3
983,1600,their,3
3868,1900,hidden,3
3299,1900,eight,3
4903,1900,rub,3
4535,1900,ought,3
3540,1900,fold,3
3504,1900,flee,3
5682,1900,village,3
4618,1900,perfumes,3
5046,1900,shining,3
4250,1900,loves,3
4934,1900,sailor,3
3363,1900,evil,3
2293,1800,thousand,3
2295,1800,thus,3
5053,1900,shone,3
5054,1900,shook,3
2235,1800,space,3
1702,1800,cried,3
2948,1900,coast,3
2873,1900,charm,3
1603,1800,between,3
1188,1700,freely,3
4613,1900,people,3
5065,1900,shout,3
5673,1900,vengeance,3
1710,1800,days,3
5067,1900,shouts,3
5671,1900,vast,3
3537,1900,fog,3
5070,1900,showed,3
4923,1900,sad,3
1843,1800,foe,3
3351,1900,evening,3
2568,1900,baby,3
5309,1900,strangely,3
5346,1900,suffering,3
3687,1900,glide,3
3686,1900,glen,3
5350,1900,summer,3
5351,1900,summers,3
3685,1900,gleams,3
2079,1800,other,3
2767,1900,broken,3
3434,1900,feeling,3
5358,1900,sunlight,3
35,600,awful,3
3121,1900,delay,3
5361,1900,suns,3
2529,1900,array,3
2075,1800,once,3
1953,1800,king,3
2373,1800,wide,3
4775,1900,recall,3
5875,1900,year,3
678,600,when,3
1960,1800,know,3
1961,1800,lady,3
2759,1900,bring,3
2370,1800,whose,3
3203,1900,doth,3
3432,1900,feed,3
1477,1700,too,3
4806,1900,remembered,3
1487,1700,two,3
2097,1800,peterkin,3
2488,1900,angels,3
3216,1900,draw,3
3698,1900,glory,3
4684,1900,pour,3
5848,1900,words,3
4687,1900,powers,3
2091,1800,path,3
4689,1900,praise,3
4420,1900,mute,3
5518,1900,toil,3
2540,1900,asitting,3
5517,1900,together,3
4076,1900,knelt,3
4177,1900,lifted,3
3425,1900,fearless,3
5856,1900,worthy,3
5859,1900,wound,3
1353,1700,pleasd,3
5820,1900,winters,3
5878,1900,yellow,3
1965,1800,last,3
668,600,watch,3
4739,1900,quickly,3
4750,1900,raised,3
3152,1900,died,3
621,600,tis,3
4387,1900,mortal,3
617,600,thy,3
3176,1900,disteyne,3
2720,1900,bound,3
2387,1800,within,3
554,600,soul,3
5460,1900,thinking,3
4362,1900,mirth,3
3641,1900,gems,3
604,600,them,3
1431,1700,souls,3
4380,1900,moore,3
2515,1900,april,3
2017,1800,make,3
3644,1900,gentleman,3
2022,1800,may,3
4733,1900,queen,3
3646,1900,gently,3
580,600,strength,3
2501,1900,anxious,3
4353,1900,millions,3
4701,1900,priest,3
3636,1900,gay,3
4764,1900,reach,3
1972,1800,led,3
5490,1900,thud,3
657,600,virgin,3
3632,1900,gate,3
3633,1900,gather,3
5385,1900,sweep,3
4349,1900,mild,3
2523,1900,arm,3
649,600,upon,3
4350,1900,mile,3
5404,1900,tale,3
530,600,sign,3
4757,1900,ranks,3
1984,1800,lighted,3
5476,1900,thoughts,3
2521,1900,arise,3
5398,1900,swords,3
1988,1800,line,3
1989,1800,lips,3
2379,1800,wilhelmine,3
3639,1900,gazed,3
5311,1900,stream,3
1933,1800,hurricane,3
1912,1800,head,3
5290,1900,stirring,3
3714,1900,gold,3
1884,1800,glorious,3
3070,1900,dance,3
4450,1900,need,3
3713,1900,going,3
438,600,persian,3
4322,1900,mehitable,3
3599,1900,fresh,3
3237,1900,drive,3
2115,1800,prince,3
5837,1900,woman,3
2480,1900,amber,3
4070,1900,kissed,3
3417,1900,fathers,3
1895,1800,grief,3
2483,1900,amid,3
3601,1900,friends,3
4817,1900,reply,3
1503,1700,waking,3
2554,1900,avail,3
3483,1900,firmly,3
5233,1900,spray,3
4475,1900,noble,3
413,600,oer,3
1521,1700,who,3
4833,1900,return,3
3048,1900,crown,3
5824,1900,wisdom,3
3727,1900,grace,3
3481,1900,firelight,3
417,600,once,3
1512,1700,what,3
3591,1900,fray,3
85,600,came,3
3592,1900,free,3
5258,1900,stars,3
5262,1900,state,3
5547,1900,trade,3
4319,1900,meet,3
5303,1900,stout,3
4161,1900,lets,3
3230,1900,drew,3
2696,1900,bloody,3
2107,1800,power,3
4327,1900,memories,3
2485,1900,amoret,3
3088,1900,daughter,3
3089,1900,dauntless,3
1910,1800,have,3
451,600,pride,3
4328,1900,memory,3
1511,1700,wellpleasd,2
2332,1800,van,2
4714,1900,province,2
1539,1700,worst,2
2399,1800,wounds,2
2383,1800,winecup,2
1639,1800,bring,2
2382,1800,winds,2
1516,1700,whether,2
4650,1900,played,2
2283,1800,thine,2
2642,1900,belovèds,2
1624,1800,boom,2
4712,1900,proudly,2
4654,1900,pleasures,2
2641,1900,beloved,2
1567,1800,amidst,2
1622,1800,boldest,2
2702,1900,bluebirds,2
4600,1900,pause,2
2288,1800,this,2
2394,1800,work,2
